8.7, 14.8, 20.3, 1.4, 0, 0, 0, 0, 0, 0, 12.9, 6.8, 14.6, 7.9, 12.8, 11.1, 11.7, 13.5, 16.7, 26.5, 27.9, 5.5, 18.4, 8.2, 11.9, 35.5, 15.9, 12.4, 14.4, 14.2, 0, 17.2, 23.9, 7.2, 9.4, 5.3, 28.9, 31.9, 14.3, 24.7, 17.1, 6.3, 16.0, 14.0, 8.2, 16.4, 13.0, 19.9, 28.1, 5.0 
13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34, 13.34 
4, 22, 4, 32, 0, 0, 0, 0, 28, 8, 26, 23, 2, 9, 28, 3, 12, 9, 6, 13, 11, 0, 0, 18, 15, 0, 30, 24, 23, 27, 9, 20, 17, 23, 23, 3, 9, 27, 7, 11, 24, 29, 4, 9, 26, 25, 6, 26, 12, 27 
2, 23, 17, 18, 0, 0, 0, 0, 28, 3, 1, 16, 2, 26, 31, 9, 12, 28, 11, 13, 5, 0, 0, 9, 23, 0, 6, 2, 2, 32, 24, 9, 23, 10, 31, 9, 22, 5, 14, 2, 23, 25, 21, 20, 28, 23, 2, 7, 17, 9 
4.6, 25.3, 23.0, 4.3, 0, 0, 0, 0, 18.6, 11.4, 23.6, 16.6, 22.3, 12.6, 12.6, 16.8, 20.1, 15.8, 8.4, 10.5, 23.0, 0, 0, 6.9, 28.3, 0, 20.4, 3.9, 6.5, 15.3, 24.4, 5.8, 6.0, 14.3, 29.3, 17.3, 18.7, 25.4, 7.0, 16.7, 24.4, 12.1, 6.7, 19.2, 8.0, 5.4, 9.9, 10.2, 11.6, 18.2 
13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9, 13.9 
2, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 14, 31, 1, 5, 17, 0, 0, 0, 9, 12, 14, 29, 2, 14, 21, 25, 11, 29, 19, 19, 14, 9, 9, 10, 23, 32, 2, 9, 5, 8, 14, 10, 0 
9, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 17, 22, 7, 18, 4, 0, 0, 0, 20, 3, 25, 5, 18, 3, 11, 17, 16, 10, 18, 11, 24, 2, 1, 8, 28, 6, 18, 17, 3, 17, 13, 27, 0 
6.6, 2.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7, 6.9, 15.4, 24.6, 0.9, 0.0, 0, 0, 0, 5.6, 5.3, 7.4, 15.5, 5.4, 2.8, 10.2, 4.9, 27.4, 8.8, 18.6, 16.2, 16.6, 15.5, 13.5, 12.2, 22.0, 3.5, 11.2, 14.1, 4.8, 18.0, 19.3, 5.3, 0 
11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96, 11.96 
