Week 1, vs. SF, W, 10-19, 17, 26, 1.5, 6, 0, 3, 4, 24, 8, 16, 0, 0, 0, 5.0, 43, 
Week 2, @ GB, L, 10-27, 15, 122, 8.1, 28, 0, 2, 2, 14, 7, 7, 0, 0, 0, 13.6, 7, 
Week 3, vs. HOU, W, 20-23, 3, 11, 3.7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1, 68, 
Week 4, @ NYG, L, 12-20, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 5, @ MIN, L, 22-29, 12, 20, 1.7, 9, 1, 4, 4, 62, 15.5, 30, 0, 0, 0, 14.2, 20, 
Week 6, vs. WAS, L, 12-7, 15, 67, 4.5, 13, 0, 1, 1, 13, 13, 13, 0, 0, 0, 8.0, 21, 
Week 7, @ NE, W, 33-14, 15, 62, 4.1, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12.2, 20, 
Week 8, @ DAL, L, 29-49, 15, 53, 3.5, 10, 0, 3, 3, 22, 7.3, 13, 0, 1, 1, 5.5, 41, 
Week 9, vs. MIA, L, 35-32, 14, 36, 2.6, 8, 0, 1, 2, 8, 8, 8, 0, 0, 0, 4.4, 30, 
Week 10, vs. DET, L, 31-30, 9, 37, 4.1, 9, 0, 1, 1, 7, 7, 7, 0, 0, 0, 4.4, 39, 
Week 11, @ ATL, L, 24-27, 17, 67, 3.9, 15, 1, 3, 4, 54, 18, 32, 0, 0, 0, 18.1, 6, 
Week 12, @ NYJ, L, 10-31, 14, 79, 5.6, 14, 0, 3, 4, 34, 11.3, 26, 0, 0, 0, 11.3, 19, 
Week 13, vs. GB, L, 28-19, 14, 61, 4.4, 9, 1, 4, 5, 6, 1.5, 7, 0, 0, 0, 12.7, 12, 
Week 14, BYE Week, 
Week 15, vs. PHI, L, 25-20, 12, 53, 4.4, 9, 1, 3, 3, 38, 12.7, 21, 1, 0, 0, 21.1, 6, 
Week 16, vs. BUF, L, 35-13, 16, 62, 3.9, 28, 0, 4, 4, 22, 5.5, 10, 0, 1, 1, 6.4, 30, 
Week 17, @ DET, L, 10-41, 6, 24, 4, 9, 0, 2, 3, 12, 6, 8, 0, 0, 0, 3.6, 50, 
Week 18, vs. MIN, L, 29-13, 7, 21, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1, 64, 
Totals,  ,  , 201, 801, 4.0, 28, 5, 34, 40, 316, 9.3, 32, 1, 2, 2, 143.7, 

Week 1, @ DET, W, 38-35, 13, 96, 7.4, 24, 1, 2, 2, 9, 4.5, 11, 0, 0, 0, 16.5, 9, 
Week 2, vs. MIN, W, 7-24, 17, 80, 4.7, 12, 0, 3, 3, 6, 2, 6, 0, 0, 0, 8.6, 18, 
Week 3, @ WAS, W, 24-8, 15, 46, 3.1, 13, 0, 1, 1, -2, -2, -2, 0, 0, 0, 4.4, 42, 
Week 4, vs. JAC, W, 21-29, 27, 134, 5, 35, 2, 2, 3, 22, 11, 16, 0, 0, 0, 27.6, 4, 
Week 5, @ ARI, W, 20-17, 15, 58, 3.9, 12, 0, 2, 3, 6, 3, 8, 0, 0, 0, 6.4, 36, 
Week 6, vs. DAL, W, 17-26, 18, 71, 3.9, 13, 1, 1, 1, 1, 1, 1, 0, 0, 0, 13.2, 12, 
Week 7, BYE Week, 
Week 8, vs. PIT, W, 13-35, 9, 78, 8.7, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13.8, 14, 
Week 9, @ HOU, W, 29-17, 17, 93, 5.5, 25, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15.3, 8, 
Week 10, vs. WAS, L, 32-21, 12, 54, 4.5, 8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5.4, 36, 
Week 11, @ IND, W, 17-16, 13, 47, 3.6, 10, 0, 1, 1, 1, 1, 1, 0, 0, 0, 4.8, 37, 
Week 12, vs. GB, W, 33-40, 21, 143, 6.8, 28, 2, 3, 3, 17, 5.7, 7, 0, 0, 0, 28.0, 2, 
Week 13, vs. TEN, W, 10-35, 10, 24, 2.4, 5, 1, 2, 2, 14, 7, 8, 0, 0, 0, 9.8, 20, 
Week 14, @ NYG, W, 48-22, 17, 144, 8.5, 40, 2, 1, 3, 11, 11, 11, 0, 0, 0, 27.5, 1, 
Week 15, @ CHI, W, 25-20, 11, 42, 3.8, 18, 0, 1, 1, -13, -13, -13, 0, 1, 1, 0.9, 69, 
Week 16, @ DAL, L, 34-40, 21, 65, 3.1, 13, 0, 1, 1, 6, 6, 6, 0, 1, 1, 5.1, 36, 
Week 17, vs. NO, L, 20-10, 12, 61, 5.1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1, 36, 
Week 18, vs. NYG, W, 16-22, 11, 33, 3, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3.3, 51, 
Totals,  ,  , 259, 1,269, 4.9, 40, 11, 20, 26, 78, 3.9, 16, 0, 2, 2, 196.7, 

Week 1, @ WAS, L, 22-28, 4, 47, 11.8, 27, 0, 2, 4, 18, 9, 23, 0, 1, 0, 6.5, 37, 
Week 2, vs. IND, W, 0-24, 9, 20, 2.2, 6, 0, 3, 3, 33, 11, 14, 0, 0, 0, 5.3, 36, 
Week 3, @ LAC, W, 38-10, 13, 45, 3.5, 9, 0, 3, 3, 30, 10, 16, 0, 0, 0, 7.5, 29, 
Week 4, @ PHI, L, 21-29, 8, 32, 4, 11, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3.2, 49, 
Week 5, vs. HOU, L, 13-6, 10, 71, 7.1, 30, 0, 3, 5, 43, 14.3, 20, 0, 0, 0, 11.4, 22, 
Week 6, @ IND, L, 27-34, 10, 86, 8.6, 48, 0, 2, 2, 22, 11, 22, 0, 1, 0, 10.8, 19, 
Week 7, vs. NYG, L, 23-17, 14, 114, 8.1, 49, 1, 1, 5, 5, 5, 5, 0, 1, 1, 17.9, 7, 
Week 8, vs. DEN, L, 21-17, 24, 156, 6.5, 49, 1, 3, 3, 6, 2, 6, 0, 0, 0, 22.2, 7, 
Week 9, vs. LV, W, 20-27, 28, 109, 3.9, 18, 2, 2, 2, 17, 8.5, 9, 0, 0, 0, 24.6, 3, 
Week 10, @ KC, L, 17-27, 11, 45, 4.1, 10, 0, 3, 3, 28, 9.3, 24, 0, 0, 0, 7.3, 25, 
Week 11, BYE Week, 
Week 12, vs. BAL, W, 27-28, 2, 3, 1.5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 81, 
Week 13, @ DET, L, 14-40, 13, 54, 4.2, 13, 0, 3, 3, 12, 4, 13, 0, 1, 1, 4.6, 41, 
Week 14, @ TEN, W, 36-22, 17, 32, 1.9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2, 40, 
Week 15, vs. DAL, W, 34-40, 19, 103, 5.4, 16, 0, 2, 3, 24, 12, 13, 0, 1, 1, 10.7, 22, 
Week 16, @ NYJ, W, 19-3, 22, 83, 3.8, 19, 0, 3, 3, 29, 9.7, 22, 0, 0, 0, 11.2, 16, 
Week 17, @ HOU, W, 31-3, 9, 108, 12, 62, 1, 3, 3, 32, 10.7, 30, 0, 0, 0, 20.0, 5, 
Week 18, vs. TEN, W, 16-20, 7, 17, 2.4, 7, 0, 2, 2, 17, 8.5, 9, 0, 0, 0, 3.4, 48, 
Totals,  ,  , 220, 1,125, 5.1, 62, 5, 35, 45, 316, 9.0, 30, 0, 5, 3, 170.1, 

Week 1, @ HOU, T, 20-20, 31, 161, 5.2, 17, 1, 4, 7, 14, 3.5, 5, 0, 0, 0, 23.5, 3, 
Week 2, @ JAC, L, 0-24, 9, 54, 6, 21, 0, 1, 1, 9, 9, 9, 0, 0, 0, 6.3, 30, 
Week 3, vs. KC, W, 17-20, 21, 71, 3.4, 13, 0, 3, 5, 20, 6.7, 9, 0, 0, 0, 9.1, 26, 
Week 4, vs. TEN, L, 24-17, 20, 42, 2.1, 11, 0, 1, 3, 1, 1, 1, 0, 1, 1, 2.3, 57, 
Week 5, @ DEN, W, 12-9, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 6, vs. JAC, W, 27-34, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 7, @ TEN, L, 10-19, 10, 58, 5.8, 14, 0, 7, 8, 27, 3.9, 9, 0, 0, 0, 8.5, 28, 
Week 8, vs. WAS, L, 17-16, 16, 76, 4.8, 27, 0, 0, 1, 0, 0, 0, 0, 1, 1, 5.6, 40, 
Week 9, @ NE, L, 3-26, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 10, @ LV, W, 25-20, 22, 147, 6.7, 66, 1, 2, 2, 16, 8, 12, 0, 0, 0, 22.3, 1, 
Week 11, vs. PHI, L, 17-16, 22, 84, 3.8, 28, 1, 3, 4, 10, 3.3, 9, 0, 1, 1, 13.4, 11, 
Week 12, vs. PIT, L, 24-17, 20, 86, 4.3, 13, 1, 3, 4, 12, 4, 9, 0, 0, 0, 15.8, 8, 
Week 13, @ DAL, L, 19-54, 21, 82, 3.9, 19, 0, 3, 4, 21, 7, 19, 0, 0, 0, 10.3, 19, 
Week 14, BYE Week, 
Week 15, @ MIN, L, 36-39, 0, 0, 0, 0, 0, 1, 1, 13, 13, 13, 0, 0, 0, 1.3, 63, 
Week 16, vs. LAC, L, 20-3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 17, @ NYG, L, 10-38, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
