17, 86.5

16, 185.6
15, 276.6
16, 314.1
8, 175.3
16, 269.8

17, 122

14, 200.4
16, 190.4
6, 78.6
16, 245.9
15, 180.7

5, 3.7
7, 1.6
16, 54.7
15, 56.2
16, 104.1

16, 278.5
16, 355.2
3, 73.4
7, 90.5
17, 271.4

16, 64.9
13, 108.8

1, 8.7
6, 16
9, 84.9
16, 126

7, 96.1

13, 140
10, 97.5
10, 81.3

8, 98.4
15, 183.4
13, 96
14, 186.6
16, 154.1

15, 252.1
16, 257.7
15, 171.7
17, 205.1
15, 168.8

16, 145.4
15, 210.8
14, 154
16, 143.7

16, 153.2
14, 164.2
15, 167.2
12, 72.5
12, 87.1

16, 87.3
14, 106.9
14, 96.1
13, 93.8
17, 213.9

11, 204.2
9, 64.4
16, 180.5
8, 88
17, 91.8

9, 32.6
16, 151.2
8, 83.7
1, 2
16, 137.3

16, 168.7
12, 142.4
12, 91.2
17, 196.7

15, 74.2
16, 92.8
15, 123.6
16, 209.8

16, 143.4

14, 118.4
16, 85

13, 224.7
10, 111.5
13, 129.6
15, 220.7
13, 154.2

12, 118.9
16, 105.6
17, 157.8
17, 140.2

16, 174.5
16, 219.2
12, 191.7
14, 195.3
17, 254.4

11, 38.3
17, 151.6
17, 139.6

15, 175.5

14, 166.2
16, 187.1
15, 119.9

13, 136.4

15, 216.8
17, 333.1
12, 118.4

11, 112
14, 239.4
14, 293.8
13, 172.3
17, 198.8

17, 89.1

16, 93.2
9, 22.9
17, 140.3

12, 100.9
17, 180.1

12, 145.4
16, 265.8
14, 211.9
15, 177
17, 189.6

15, 198.3
15, 172
17, 275.3

15, 273.2
14, 167.5
15, 294.8
13, 187.7
15, 154.7

16, 294.8
13, 192.1
2, 9.4
14, 107.6
16, 227

14, 129.8
16, 217
10, 111.3
16, 273.8
17, 265.7

13, 143.8
13, 146.9
14, 143.1

17, 226.7
17, 182.5

17, 170.1

12, 90.8
2, 1.3
15, 128.3

